depth,link,school,title
[0],https://www.britishschool.nl/,https://www.britishschool.nl/,Welcome to The British School in The Netherlands
[1],https://www.britishschool.nl/about-us/campus-facilities/junior-school-diamanthorst,https://www.britishschool.nl/,Junior School Diamanthorst Campus | The British School in The Netherlands
[0],http://www.aisr.nl/,http://www.aisr.nl/,"American International School of Rotterdam - International School for Rotterdam and The Hague | The American International School of Rotterdam (AISR) - Early Learning (Kindergarten), Elementary, Middle and Secondary High School"
[1],https://www.britishschool.nl/about-us/welcome-from-the-principal,https://www.britishschool.nl/,Welcome from the Principal | The British School in The Netherlands
[1],https://www.britishschool.nl/about-us/bsn-vision,https://www.britishschool.nl/,"Our Vision, Mission and Values | The British School in The Netherlands"
[1],https://www.britishschool.nl/about-us/campus-facilities,https://www.britishschool.nl/,Campus Facilities | The British School in The Netherlands
[1],https://www.britishschool.nl/about-us/what-sets-us-apart-,https://www.britishschool.nl/,What Sets Us Apart? | The British School in The Netherlands
[1],https://www.britishschool.nl/about-us/virtual-tour,https://www.britishschool.nl/,Virtual Tour | The British School in The Netherlands
[1],https://www.britishschool.nl/about-us/campus-facilities/senior-school-voorschoten,https://www.britishschool.nl/,Senior School Voorschoten Campus | The British School in The Netherlands
[1],http://www.interactive-schools.co.uk,https://www.britishschool.nl/,Interactive Schools - Websites | Creative | Social
[1],https://www.britishschool.nl/about-us/british-education-system,https://www.britishschool.nl/,British Education System | The British School in The Netherlands
[1],https://www.britishschool.nl/terms,https://www.britishschool.nl/,Terms | The British School in The Netherlands
[1],https://www.britishschool.nl/sitemap,https://www.britishschool.nl/,Sitemap | The British School in The Netherlands
[0],https://riss.wolfert.nl/,https://riss.wolfert.nl/,Home - Rotterdam International Secondary School
[1],http://interactive-schools.co.uk/,https://www.britishschool.nl/,Interactive Schools - Websites | Creative | Social
[1],https://riss.wolfert.nl/learning/students,https://riss.wolfert.nl/,Students - Rotterdam International Secondary School
[1],https://www.bsnlanguagecentre.nl/learning-english/adult-courses/general-english,https://www.britishschool.nl/,General English | The British School in The Netherlands
[1],https://www.bsnlanguagecentre.nl/learning-dutch/adult-courses/general-dutch,https://www.britishschool.nl/,General Dutch | The British School in The Netherlands
[2],https://www.britishschool.nl/search,https://www.britishschool.nl/,Search | The British School in The Netherlands
[2],https://www.britishschool.nl/working-for-us/vacancies,https://www.britishschool.nl/,Current Vacancies | The British School in The Netherlands
[2],https://www.instagram.com/interactiveSchools/,https://www.britishschool.nl/,"
Interactive Schools (@interactiveschools) • Instagram photos and videos
"
[1],https://www.aisr.nl/userlogin.cfm,http://www.aisr.nl/,American International School of Rotterdam: Member Login
[2],https://riss.wolfert.nl/learning/students/information-and-downloads,https://riss.wolfert.nl/,Information and Downloads - Rotterdam International Secondary School
[2],https://www.youtube.com/user/intSchools,https://www.britishschool.nl/,"  Interactive Schools
 - YouTube"
[1],https://riss.wolfert.nl/privacy-policy,https://riss.wolfert.nl/,Privacy Policy - Rotterdam International Secondary School
[1],https://riss.wolfert.nl/about-riss/faculty-staff,https://riss.wolfert.nl/,Faculty & Staff - Rotterdam International Secondary School
[1],https://riss.wolfert.nl/about-riss/parent-resources,https://riss.wolfert.nl/,Parent Resources - Rotterdam International Secondary School
[1],https://riss.wolfert.nl/join-us/contact-us,https://riss.wolfert.nl/,Contact Us - Rotterdam International Secondary School
[2],https://mobile.twitter.com/intSchools,https://www.britishschool.nl/,Interactive Schools (@intSchools) on Twitter
[2],https://riss.wolfert.nl/learning/curriculum/ibdp-grades-11-12/cas-tok-extended-essay,https://riss.wolfert.nl/,CAS/TOK/Extended Essay - Rotterdam International Secondary School
[2],https://riss.wolfert.nl/about-riss/employment/application-procedures,https://riss.wolfert.nl/,Application Procedures - Rotterdam International Secondary School
[2],https://www.aisr.nl/userlogin.cfm?do=forgot&p=114,http://www.aisr.nl/,American International School of Rotterdam: Member Login
[2],https://www.aisr.nl/userlogin.cfm?do=loginform&p=114,http://www.aisr.nl/,American International School of Rotterdam: Member Login
[2],https://www.bsnlanguagecentre.nl/sitemap,https://www.britishschool.nl/,Sitemap | The British School in The Netherlands
[2],https://www.bsnlanguagecentre.nl/terms,https://www.britishschool.nl/,Terms | The British School in The Netherlands
[2],https://www.aisr.nl/uploaded/404.html,http://www.aisr.nl/,American International School of Rotterdam: Welcome to AISR
[2],http://www.aisr.nl/index.cfm,http://www.aisr.nl/,"American International School of Rotterdam - International School for Rotterdam and The Hague | The American International School of Rotterdam (AISR) - Early Learning (Kindergarten), Elementary, Middle and Secondary High School"
[2],https://www.bsnlanguagecentre.nl/learning-english/adult-courses/algemeen-engels,https://www.britishschool.nl/,Algemeen Engels | The British School in The Netherlands
[2],https://www.bsnlanguagecentre.nl/news,https://www.britishschool.nl/,News | The British School in The Netherlands
[2],https://www.bsnlanguagecentre.nl/media/filter/publications,https://www.britishschool.nl/,Media | The British School in The Netherlands
[2],https://www.bsnlanguagecentre.nl/courses-and-fees/appointment-registration,https://www.britishschool.nl/,Registration and Testing Form | The British School in The Netherlands
[2],https://www.bsnlanguagecentre.nl/media/filter/twitter/facebook,https://www.britishschool.nl/,Media | The British School in The Netherlands
[2],http://www.aisr.nl/page.cfm?p=1,http://www.aisr.nl/,"American International School of Rotterdam - International School for Rotterdam and The Hague | The American International School of Rotterdam (AISR) - Early Learning (Kindergarten), Elementary, Middle and Secondary High School"
[2],https://www.bsnlanguagecentre.nl/media/filter/blog,https://www.britishschool.nl/,Media | The British School in The Netherlands
[2],https://www.bsnlanguagecentre.nl/media/filter/photos,https://www.britishschool.nl/,Media | The British School in The Netherlands
[2],https://www.bsnlanguagecentre.nl/celta-teacher-training/celta,https://www.britishschool.nl/,Become a CELTA Certified Teacher | The British School in The Netherlands
[2],https://www.bsnlanguagecentre.nl/media/filter/news,https://www.britishschool.nl/,Media | The British School in The Netherlands
[2],https://www.bsnlanguagecentre.nl/celta-teacher-training/introductory-tefl,https://www.britishschool.nl/,Introductory TEFL | The British School in The Netherlands
[2],https://www.bsnlanguagecentre.nl/teaching-in-dutch-education/certificate-in-emi-skills-university/informatie-registratie-emi-skills,https://www.britishschool.nl/,EMI Skills for Lecturers | The British School in The Netherlands
[2],https://www.bsnlanguagecentre.nl/teaching-in-dutch-education/certificate-in-emi-skills-university,https://www.britishschool.nl/,EMI Skills for Lecturers | The British School in The Netherlands
[2],https://www.bsnlanguagecentre.nl/teaching-in-dutch-education/english-language-teaching-secondary,https://www.britishschool.nl/,Nascholing docenten Engels in VO en MBO | The British School in The Netherlands
[2],https://www.bsnlanguagecentre.nl/teaching-in-dutch-education/english-language-teaching-primary,https://www.britishschool.nl/,Nascholing Engels voor Basisonderwijs | The British School in The Netherlands
[2],https://www.bsnlanguagecentre.nl/learning-dutch/adult-courses/online-dutch,https://www.britishschool.nl/,Online Dutch | The British School in The Netherlands
[2],https://www.bsnlanguagecentre.nl/learning-dutch/dutch-for-business/in-company,https://www.britishschool.nl/,In Company Dutch Courses | The British School in The Netherlands
[2],https://www.bsnlanguagecentre.nl/learning-dutch/adult-courses/private-lessons,https://www.britishschool.nl/,Private Dutch Lessons | The British School in The Netherlands
[2],https://www.bsnlanguagecentre.nl/learning-dutch/adult-courses/summer-intensives,https://www.britishschool.nl/,Summer Intensives Dutch | The British School in The Netherlands
[2],https://www.bsnlanguagecentre.nl/learning-dutch/adult-courses/nt2-exam-preparation,https://www.britishschool.nl/,NT2 Exam Preparation | The British School in The Netherlands
[2],https://www.bsnlanguagecentre.nl/learning-english/summer-courses,https://www.britishschool.nl/,Summer Courses | The British School in The Netherlands
[2],https://www.bsnlanguagecentre.nl/learning-english/english-for-business/private-lessons,https://www.britishschool.nl/,Private English Lessons for Adults | The British School in The Netherlands
[2],https://www.bsnlanguagecentre.nl/learning-english/english-for-business/in-company,https://www.britishschool.nl/,In Company English Courses | The British School in The Netherlands
[2],https://www.bsnlanguagecentre.nl/learning-english/children-and-teens/summer-school,https://www.britishschool.nl/,Summer School (5-16yrs) | The British School in The Netherlands
[2],https://www.bsnlanguagecentre.nl/learning-english/english-for-business/business-english,https://www.britishschool.nl/,Business English in the Evening | The British School in The Netherlands
[2],https://www.bsnlanguagecentre.nl/learning-english/children-and-teens/english-clubs,https://www.britishschool.nl/,English Clubs | The British School in The Netherlands
[2],https://www.bsnlanguagecentre.nl/learning-english/children-and-teens/private-lessons,https://www.britishschool.nl/,Private Lessons Children and Teens | The British School in The Netherlands
[2],https://www.bsnlanguagecentre.nl/learning-english/adult-courses/private-lessons,https://www.britishschool.nl/,Private English Lessons | The British School in The Netherlands
[2],https://www.bsnlanguagecentre.nl/learning-english/children-and-teens/general-english,https://www.britishschool.nl/,English for Children and Teens | The British School in The Netherlands
[2],https://www.bsnlanguagecentre.nl/learning-english/adult-courses/cambridge-exams,https://www.britishschool.nl/,Cambridge Exams | The British School in The Netherlands
[2],https://www.bsnlanguagecentre.nl/learning-english/adult-courses/summer-intensives,https://www.britishschool.nl/,Summer Intensives English | The British School in The Netherlands
[2],https://www.bsnlanguagecentre.nl/learning-english/adult-courses/ielts-exam-preparation,https://www.britishschool.nl/,IELTS Exam Preparation | The British School in The Netherlands
[2],https://www.bsnlanguagecentre.nl/learning-english/adult-courses/conversation,https://www.britishschool.nl/,Conversation | The British School in The Netherlands
[2],https://www.bsnlanguagecentre.nl/about-us/how-to-find-us,https://www.britishschool.nl/,How to find us | The British School in The Netherlands
[2],https://www.bsnlanguagecentre.nl/about-us/our-staff,https://www.britishschool.nl/,What Our Students Say About Us | The British School in The Netherlands
[2],https://www.bsnlanguagecentre.nl/about-us/what-sets-us-apart-,https://www.britishschool.nl/,What Sets Us Apart? | The British School in The Netherlands
[2],https://www.bsnlanguagecentre.nl/about-us/welcome,https://www.britishschool.nl/,Welcome | The British School in The Netherlands
[2],https://www.bsnlanguagecentre.nl/learning-english/adult-courses/business-english,https://www.britishschool.nl/,Business English in the Evening | The British School in The Netherlands
[2],https://www.bsnlanguagecentre.nl/,https://www.britishschool.nl/,Welcome to The BSN Language Centre | The British School in The Netherlands
[2],https://www.bsnlanguagecentre.nl/about-us/working-for-us,https://www.britishschool.nl/,Working for us | The British School in The Netherlands
[2],https://www.bsnlanguagecentre.nl/about-us/contact-us,https://www.britishschool.nl/,Contact us | The British School in The Netherlands
[2],https://riss.wolfert.nl/learning/curriculum/ibdp-grades-11-12,https://riss.wolfert.nl/,IBDP Grades 11 - 12 - Rotterdam International Secondary School
[2],https://riss.wolfert.nl/learning/curriculum/igcse-grades-9-10,https://riss.wolfert.nl/,IGCSE Grades 9 - 10 - Rotterdam International Secondary School
[2],https://riss.wolfert.nl/learning/curriculum/foundation-course-grades-6-8,https://riss.wolfert.nl/,Foundation Course Grades 6 - 8 - Rotterdam International Secondary School
[2],https://riss.wolfert.nl/about-riss/counsellor/contact,https://riss.wolfert.nl/,Contact - Rotterdam International Secondary School
[2],https://riss.wolfert.nl/learning/students/houses/epraise,https://riss.wolfert.nl/,EPraise - Rotterdam International Secondary School
[2],https://riss.wolfert.nl/about-riss/counsellor/professional-educational-exprience,https://riss.wolfert.nl/,Professional Experience & Education Background - Rotterdam International Secondary School
[2],https://riss.wolfert.nl/about-riss/faculty-staff/staff,https://riss.wolfert.nl/,Staff - Rotterdam International Secondary School
[2],https://riss.wolfert.nl/about-riss/actvities/trips,https://riss.wolfert.nl/,Trips - Rotterdam International Secondary School
[2],https://riss.wolfert.nl/about-riss/actvities/ecas,https://riss.wolfert.nl/,Extra-Curricular Activities - Rotterdam International Secondary School
[2],https://riss.wolfert.nl/learning/students/houses,https://riss.wolfert.nl/,Houses - Rotterdam International Secondary School
[2],https://www.bsnlanguagecentre.nl/calendar,https://www.britishschool.nl/,Calendar | The British School in The Netherlands
[2],https://riss.wolfert.nl/learning/students/library,https://riss.wolfert.nl/,Library - Rotterdam International Secondary School
[2],https://riss.wolfert.nl/about-riss/faculty-staff/administrative-and-support-staff,https://riss.wolfert.nl/,Administrative and Support Staff - Rotterdam International Secondary School
[2],https://riss.wolfert.nl/learning/students/student-council,https://riss.wolfert.nl/,Student Council - Rotterdam International Secondary School
[1],https://riss.wolfert.nl/sitemap,https://riss.wolfert.nl/,Sitemap - Rotterdam International Secondary School
[1],https://m.facebook.com/rotterdaminternational/,https://riss.wolfert.nl/,Rotterdam International Secondary School
[1],https://m.facebook.com/rotterdaminternational/?hc_ref=SEARCH&fref=nf,https://riss.wolfert.nl/,Rotterdam International Secondary School
[2],https://riss.wolfert.nl/about-riss/actvities/photo-gallery,https://riss.wolfert.nl/,Photo Gallery - Rotterdam International Secondary School
[2],https://m.facebook.com/login/?next=https%3A%2F%2Fm.facebook.com%2Frotterdaminternational%2F%3Fhc_ref%3DSEARCH%26fref%3Dnf&refid=17,https://riss.wolfert.nl/,Log into Facebook | Facebook
[2],https://t.co/SdPyOzSNJ8,https://riss.wolfert.nl/,https://twitter.com/IntSchoolMag/status/731082115987718144
[2],https://mobile.twitter.com/IntSchoolMag,https://riss.wolfert.nl/,International School (@IntSchoolMag) on Twitter
[2],https://m.facebook.com/story.php?story_fbid=1537845679623455&id=131831673558203&refid=17&_ft_=top_level_post_id.1930886906925325%3Atl_objid.1930886906925325%3Athid.1205836482763708%3A306061129499414%3A3%3A0%3A1501570799%3A-6204229859123187264&__tn__=C-R,https://riss.wolfert.nl/,Attractie Verhuurshop.nl | Op de Rotterdam International Secondary School is de laatste schooldag altijd een sportdag!! 💪
[2],https://mobile.twitter.com/hashtag/schoolpr?src=hash,https://riss.wolfert.nl/,Search Twitter - #schoolpr
[2],https://m.facebook.com/story.php?story_fbid=1537845679623455&id=131831673558203&refid=17&_ft_=top_level_post_id.1930886906925325%3Atl_objid.1930886906925325%3Athid.1205836482763708%3A306061129499414%3A3%3A0%3A1501570799%3A-6204229859123187264&__tn__=CH-R,https://riss.wolfert.nl/,Attractie Verhuurshop.nl | Op de Rotterdam International Secondary School is de laatste schooldag altijd een sportdag!! 💪
[2],https://m.facebook.com/rotterdaminternational/?refid=17&_ft_=top_level_post_id.1930886906925325%3Atl_objid.1930886906925325%3Athid.1205836482763708%3A306061129499414%3A3%3A0%3A1501570799%3A-6204229859123187264&__tn__=C-R,https://riss.wolfert.nl/,Rotterdam International Secondary School
[2],https://m.facebook.com/profile.php?id=136195113233233&refid=17&_ft_=top_level_post_id.1930886906925325%3Atl_objid.1930886906925325%3Athid.1205836482763708%3A306061129499414%3A3%3A0%3A1501570799%3A-6204229859123187264&__tn__=%2AsH-R,https://riss.wolfert.nl/,Rotterdam International Secondary School
[2],https://m.facebook.com/profile.php?id=136195113233233&refid=17&_ft_=top_level_post_id.1930886906925325%3Atl_objid.1930886906925325%3Athid.1205836482763708%3A306061129499414%3A3%3A0%3A1501570799%3A-6204229859123187264&__tn__=CH-R,https://riss.wolfert.nl/,Rotterdam International Secondary School
